"variable","iso3c","year","value","indicator_sdg"
"SI.POV.DDAY","AUS",2020,0.9,"1.1.1"
"SI.POV.DDAY","AUS",2021,0.9,"1.1.1"
"SI.POV.DDAY","AUS",2022,0.9,"1.1.1"
"SI.POV.DDAY","AUS",2023,0.9,"1.1.1"
"SI.POV.DDAY","AUS",2024,0.9,"1.1.1"
"SI.POV.DDAY","AUS",2025,0.9,"1.1.1"
"SI.POV.DDAY","AUT",2010,0.5,"1.1.1"
"SI.POV.DDAY","AUT",2011,0.5,"1.1.1"
"SI.POV.DDAY","AUT",2012,0.6,"1.1.1"
"SI.POV.DDAY","AUT",2013,0.3,"1.1.1"
"SI.POV.DDAY","AUT",2014,0.2,"1.1.1"
"SI.POV.DDAY","AUT",2015,0.7,"1.1.1"
"SI.POV.DDAY","AUT",2016,0.7,"1.1.1"
"SI.POV.DDAY","AUT",2017,0.4,"1.1.1"
"SI.POV.DDAY","AUT",2018,0.6,"1.1.1"
"SI.POV.DDAY","AUT",2019,0.7,"1.1.1"
"SI.POV.DDAY","AUT",2020,0.8,"1.1.1"
"SI.POV.DDAY","AUT",2021,0.5,"1.1.1"
"SI.POV.DDAY","AUT",2022,0.6,"1.1.1"
"SI.POV.DDAY","AUT",2023,0.5,"1.1.1"
"SI.POV.DDAY","AUT",2024,0.5,"1.1.1"
"SI.POV.DDAY","AUT",2025,0.5,"1.1.1"
"SI.POV.DDAY","AZE",2010,0,"1.1.1"
"SI.POV.DDAY","AZE",2011,0,"1.1.1"
"SI.POV.DDAY","AZE",2012,0,"1.1.1"
"SI.POV.DDAY","AZE",2013,0,"1.1.1"
"SI.POV.DDAY","AZE",2014,0,"1.1.1"
"SI.POV.DDAY","AZE",2015,0,"1.1.1"
"SI.POV.DDAY","AZE",2016,0,"1.1.1"
"SI.POV.DDAY","AZE",2017,0,"1.1.1"
"SI.POV.DDAY","AZE",2018,0,"1.1.1"
"SI.POV.DDAY","AZE",2019,0,"1.1.1"
