indicator_sdg,theme,topic
1.1.1,prosperity,poverty
2.1.1,people,"health, nutrition & population"
3.1.1,people,"health, nutrition & population"
4.1.2,people,education
8.5.1,people,gender
6.1.1,planet,water
7.1.1,infrastructure,"energy & extractives"
8.1.1,prosperity,"growth & jobs"
17.8.1,digital,connectivity
10.1.1,prosperity,poverty
11.0.0,infrastructure,"urban, resilience & land"
12.c.1,infrastructure,"energy & extractives"
13.2.2,planet,climate change
14.1.1,planet,environment
15.1.2,planet,environment
16.0.0,digital,
17.18.1,crosscutting,
3.2.1,people,"health, nutrition & population"
3.2.2,people,"health, nutrition & population"
42.0.0,planet,environment
43.0.0,people,"health, nutrition & population"
44.0.0,people,education
45.0.0,people,gender
47.0.0,infrastructure,"energy & extractives"
