STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,CHE,ID_OWN,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,94.5616154705342,A,Triennial,Switzerland,ID ownership,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,CHL,ID_OWN,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,98.4660443656989,A,Triennial,Chile,ID ownership,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,CHN,ID_OWN,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,99.6136938160256,A,Triennial,China,ID ownership,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,CIV,ID_OWN,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,74.4725168271691,A,Triennial,Cote d'Ivoire,ID ownership,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,CMR,ID_OWN,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,77.8870210987439,A,Triennial,Cameroon,ID ownership,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,COD,ID_OWN,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,87.0882864495275,A,Triennial,"Congo, Dem. Rep.",ID ownership,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,COG,ID_OWN,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,53.4928613897734,A,Triennial,"Congo, Rep.",ID ownership,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,COL,ID_OWN,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,97.9042122029182,A,Triennial,Colombia,ID ownership,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,COM,ID_OWN,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,71.3023854680231,A,Triennial,Comoros,ID ownership,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,CRI,ID_OWN,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,98.1864581500431,A,Triennial,Costa Rica,ID ownership,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,CYP,ID_OWN,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,88.6300000170343,A,Triennial,Cyprus,ID ownership,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,CZE,ID_OWN,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,95.8326734824463,A,Triennial,Czechia,ID ownership,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,DEU,ID_OWN,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,97.9949840651485,A,Triennial,Germany,ID ownership,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Normal value,Public
